experiment_id,timestamp,split,seed,mode,initial_loss,final_loss,steps_to_threshold,converged,diverged,wall_clock_s,delta_w_norm,model.depth,model.width,model.n_params,model.flops,model.activation,model.normalization,model.residual_connection_ratio,model.attention_structure,model.required_memory_bytes,model.init_method,model.weight_norm_mean,model.weight_norm_std,task.input_dim,task.noise_level,task.n_samples,task.target_variance,task.target_entropy_estimate,task.feature_correlation_mean,task.redundancy,task.class_imbalance,task.distribution,hardware.device_type,hardware.device_name,hardware.device_count,hardware.memory_bytes,hardware.precision,hardware.interconnect,regime.regime_model_size,regime.regime_data_noise,regime.regime_data_volume,regime.regime_device,regime.regime_label,training.learning_rate,training.batch_size,training.optimizer,training.weight_decay,training.init_method,zero_cost.synflow,zero_cost.snip,zero_cost.grasp,zero_cost.jacob_cov,zero_cost.effective_rank,zero_cost.hessian_trace,zero_cost.jacobian_condition_mean,zero_cost.jacobian_condition_median,zero_cost.jacobian_sigma_max_mean,zero_cost.gradient_norm,zero_cost.gradient_norm_variance,zero_cost.activation_mean,zero_cost.activation_variance
70,2026-09-01 12:37:47,train,123,full_training,7.565255165100098,0.049508653581142426,163.0,1,0,0.2752664099971298,6.431514263153076,2,32,1217,2304,relu,none,0.0,none,19472,xavier,3.998493274052938,2.7725577354431152,3,0.08,768,5.356934070587158,2.258134438040257,0.02532337812379011,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,xavier,85.53611755371094,22.094467163085938,-257.4178771972656,48.296791076660156,11.881487846374512,20.124691009521484,2.4107964038848877,2.2924115657806396,1.3192806243896484,8.941706657409668,491.4734802246094,0.1420404016971588,0.05852394178509712
71,2026-09-01 12:37:47,train,123,full_training,7.449880123138428,0.04813200607895851,211.0,1,0,0.3839191099978052,6.179826259613037,2,32,1217,2304,relu,none,0.0,none,19472,he,5.3281480471293134,2.563436269760132,3,0.08,768,5.356934070587158,2.258134438040257,0.02532337812379011,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,he,247.24282836914062,59.92972183227539,-1244.29931640625,48.296791076660156,11.881487846374512,117.71100406646728,2.4107961654663086,2.292412042617798,3.1863653659820557,18.814973831176758,2425.303466796875,0.3430601954460144,0.3413897007703781
72,2026-09-01 12:37:48,train,123,full_training,6.496826171875,0.03886782377958298,203.0,1,0,0.391201288002776,7.168177127838135,2,32,1217,2304,relu,none,0.0,none,19472,orthogonal,3.8164965311686196,3.016789674758911,3,0.08,768,5.356934070587158,2.258134438040257,0.02532337812379011,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,orthogonal,53.49358367919922,16.12177848815918,-137.4222412109375,41.693626403808594,12.118642807006836,-4.61395492553711,1.7957978248596191,1.7013288736343384,1.2034233808517456,7.144822120666504,301.4844970703125,0.14874020218849182,0.05376480706036091
73,2026-09-01 12:37:48,train,124,full_training,1.490983009338379,0.04465317726135254,22.0,1,0,0.04022029400221072,3.4468894004821777,2,32,1249,2368,relu,none,0.0,none,19984,xavier,4.106595436731975,2.8521344661712646,4,0.164,384,2.0406341552734375,1.775568843193267,0.03425815617174718,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,88.71050262451172,9.049654006958008,-16.737125396728516,68.43195343017578,14.280282974243164,43.1771785736084,3.4114608764648438,3.2123210430145264,1.6302857398986816,2.8045032024383545,34.99249267578125,0.1936294361948967,0.10276666656136513
74,2026-09-01 12:37:48,train,124,full_training,1.0407657623291016,0.04961105063557625,26.0,1,0,0.050381611014017835,3.34787654876709,2,32,1249,2368,relu,none,0.0,none,19984,he,5.400059739748637,2.908212184906006,4,0.164,384,2.0406341552734375,1.775568843193267,0.03425815617174718,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,225.21484375,17.235881805419922,-67.11006927490234,68.43195343017578,14.280282974243164,104.5029525756836,3.4114608764648438,3.212320566177368,3.4583582878112793,4.0253801345825195,79.14061737060547,0.41075003147125244,0.46244996786117554
75,2026-09-01 12:37:48,train,124,full_training,2.1135387420654297,0.03467043489217758,28.0,1,0,0.04295977498986758,3.905384063720703,2,32,1249,2368,relu,none,0.0,none,19984,orthogonal,3.9428090254465737,2.9643869400024414,4,0.164,384,2.0406341552734375,1.775568843193267,0.03425815617174718,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,68.3827133178711,9.036859512329102,-29.357418060302734,91.03823852539062,15.56056022644043,42.35469465255737,2.086106300354004,2.0397093296051025,1.2480919361114502,2.970400333404541,35.59828567504883,0.17706023901700974,0.07681936770677567
76,2026-09-01 12:37:48,train,125,full_training,2.110644578933716,0.048983555287122726,73.0,1,0,0.11694725000415929,5.497148036956787,2,32,1281,2432,relu,none,0.0,none,20496,xavier,4.337605396906535,2.741262674331665,5,0.067,512,1.7672736644744873,1.7036575614763825,0.021876697988372978,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,medium,cpu,small_model__clean_data__medium_volume,0.02,32,adam,1e-05,xavier,116.72314453125,11.076645851135254,-44.87848663330078,100.72754669189453,17.418058395385742,56.79017400741577,3.788422107696533,3.214451789855957,1.7105247974395752,3.172537088394165,92.29722595214844,0.2321529984474182,0.14789597690105438
77,2026-09-01 12:37:49,train,125,full_training,3.9312148094177246,0.036219172179698944,78.0,1,0,0.1200982480077073,5.087487697601318,2,32,1281,2432,relu,none,0.0,none,20496,he,5.668473839759827,3.066263437271118,5,0.067,512,1.7672736644744873,1.7036575614763825,0.021876697988372978,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,medium,cpu,small_model__clean_data__medium_volume,0.02,32,adam,1e-05,he,268.70367431640625,33.973995208740234,-498.6511535644531,100.72754669189453,17.418062210083008,165.03291549682618,3.788422107696533,3.214451789855957,3.290259838104248,8.0922269821167,373.8601379394531,0.4465551823377609,0.5472151339054108
78,2026-09-01 12:37:49,train,125,full_training,1.6186809539794922,0.038301732391119,79.0,1,0,0.11379589300486259,5.722728729248047,2,32,1281,2432,relu,none,0.0,none,20496,orthogonal,4.054092566172282,2.926488161087036,5,0.067,512,1.7672736644744873,1.7036575614763825,0.021876697988372978,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,medium,cpu,small_model__clean_data__medium_volume,0.02,32,adam,1e-05,orthogonal,84.57994079589844,7.316396713256836,-24.063438415527344,86.27992248535156,16.753786087036133,42.79117050170898,2.6702470779418945,2.495260715484619,1.3068079948425293,2.864539861679077,56.975914001464844,0.19546696543693542,0.10208047926425934
79,2026-09-01 12:37:49,train,126,full_training,9.419053077697754,0.04995451122522354,257.0,1,0,0.4960233199817594,8.414608001708984,2,32,1345,2560,relu,none,0.0,none,21520,xavier,4.824894110361735,2.6007485389709473,7,0.018,768,4.9530930519104,2.218944653409331,0.028715913889827114,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,xavier,222.52198791503906,57.15509033203125,-1788.293212890625,113.76073455810547,18.842639923095703,146.5914093017578,7.23049783706665,6.334348678588867,2.145599842071533,17.716032028198242,476.0997619628906,0.3261631429195404,0.28685110807418823
80,2026-09-01 12:37:50,train,126,full_training,15.325443267822266,0.04288800433278084,413.0,1,0,0.6700036289985292,8.414070129394531,2,32,1345,2560,relu,none,0.0,none,21520,he,6.084149400393168,3.0874176025390625,7,0.018,768,4.9530930519104,2.218944653409331,0.028715913889827114,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,he,444.48486328125,158.10726928710938,-11897.6396484375,113.76073455810547,18.842636108398438,389.82317504882815,7.230499267578125,6.334354400634766,3.5811045169830322,40.9368782043457,3430.72607421875,0.5443812906742096,0.7990852892398834
81,2026-09-01 12:37:51,train,126,full_training,7.387978553771973,0.047214340418577194,285.0,1,0,0.46422481699846685,9.572249412536621,2,32,1345,2560,relu,none,0.0,none,21520,orthogonal,4.247219244639079,2.8800108432769775,7,0.018,768,4.9530930519104,2.218944653409331,0.028715913889827114,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,orthogonal,111.43936157226562,28.730361938476562,-722.7232055664062,117.10244750976562,19.184785842895508,118.22668685913087,4.66295862197876,4.027344703674316,1.5317085981369019,12.1453218460083,138.3482208251953,0.2843557447195053,0.17578347027301788
82,2026-09-01 12:37:51,test,127,full_training,1.5987138748168945,0.047246623784303665,41.0,1,0,0.07838727900525555,3.604753255844116,2,32,1185,2240,relu,none,0.0,none,18960,xavier,3.9327030579249063,2.911090850830078,2,0.274,256,1.9315621852874756,1.7481030821746053,0.04575942023888008,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,low,cpu,small_model__noisy_data__low_volume,0.02,32,adam,1e-05,xavier,58.31831359863281,9.329681396484375,-30.210447311401367,-122.93316650390625,7.110849857330322,19.429045486450196,1.914847731590271,1.468858242034912,1.26321280002594,3.1513118743896484,89.1632308959961,0.12368109077215195,0.05891825072467327
83,2026-09-01 12:37:51,test,127,full_training,1.5344960689544678,0.04433668032288551,31.0,1,0,0.0692620340269059,2.713067054748535,2,32,1185,2240,relu,none,0.0,none,18960,he,5.592296163241069,2.8417537212371826,2,0.274,256,1.9315621852874756,1.7481030821746053,0.04575942023888008,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,low,cpu,small_model__noisy_data__low_volume,0.02,32,adam,1e-05,he,203.48391723632812,22.587141036987305,-145.37132263183594,-122.93316650390625,7.110848903656006,208.09697723388672,1.91484797000885,1.4688584804534912,3.6828665733337402,6.728071212768555,589.6206665039062,0.3605892211198807,0.500805139541626
84,2026-09-01 12:37:51,test,127,full_training,1.477022409439087,0.046572573482990265,41.0,1,0,0.07480613799998537,3.6659445762634277,2,32,1185,2240,relu,none,0.0,none,18960,orthogonal,3.666666487852732,3.0912060737609863,2,0.274,256,1.9315621852874756,1.7481030821746053,0.04575942023888008,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,low,cpu,small_model__noisy_data__low_volume,0.02,32,adam,1e-05,orthogonal,35.72531509399414,6.316391468048096,-17.064777374267578,-163.02841186523438,7.133748531341553,5.193387603759765,1.3261274099349976,1.2973425388336182,1.0751190185546875,2.2853779792785645,43.654441833496094,0.11278015747666359,0.04276014864444733
85,2026-09-01 12:37:51,train,128,full_training,1.2843313217163086,0.04803738743066788,93.0,1,0,0.16499301401199773,5.836333751678467,2,32,1281,2432,relu,none,0.0,none,20496,xavier,4.337605396906535,2.741262674331665,5,0.122,512,1.9182753562927246,1.744651798424074,0.03874893834657822,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,116.72314453125,7.381561756134033,-31.414329528808594,96.12146759033203,16.363422393798828,52.11298885345459,4.043251037597656,3.691624164581299,1.7416404485702515,2.2390177249908447,94.91792297363281,0.24265138804912567,0.17812687158584595
86,2026-09-01 12:37:52,train,128,full_training,2.5500922203063965,0.033248379826545715,123.0,1,0,0.23089321199222468,5.577502727508545,2,32,1281,2432,relu,none,0.0,none,20496,he,5.668473839759827,3.066263437271118,5,0.122,512,1.9182753562927246,1.744651798424074,0.03874893834657822,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,268.70367431640625,32.48054504394531,-820.8422241210938,96.12146759033203,16.363418579101562,182.24696731567383,4.043251037597656,3.69162654876709,3.350112199783325,8.803574562072754,741.9932861328125,0.46674928069114685,0.6590694785118103
87,2026-09-01 12:37:52,train,128,full_training,1.112920880317688,0.03403252735733986,123.0,1,0,0.2259717900014948,6.094252109527588,2,32,1281,2432,relu,none,0.0,none,20496,orthogonal,4.054092566172282,2.926488161087036,5,0.122,512,1.9182753562927246,1.744651798424074,0.03874893834657822,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,84.57994079589844,5.537394046783447,-10.642658233642578,88.75894927978516,16.813203811645508,30.558966827392577,2.9879753589630127,2.7849478721618652,1.310788869857788,1.9493260383605957,83.7752914428711,0.19906994700431824,0.1089860275387764
88,2026-09-01 12:37:53,train,129,full_training,7.525400161743164,0.04949977248907089,401.0,1,0,0.6963430929754395,8.419958114624023,2,32,1345,2560,relu,none,0.0,none,21520,xavier,4.824894110361735,2.6007485389709473,7,0.26,512,4.186886787414551,2.1349172570054713,0.030650894849597904,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,xavier,222.52198791503906,49.80224609375,-1560.5111083984375,114.08379364013672,17.691930770874023,116.61829681396485,7.652378082275391,6.000646591186523,2.1516270637512207,15.903141975402832,1054.2801513671875,0.30394960939884186,0.2486255243420601
89,2026-09-01 12:37:53,train,129,full_training,12.490639686584473,0.04515102133154869,467.0,1,0,0.7775147350039333,8.605977058410645,2,32,1345,2560,relu,none,0.0,none,21520,he,6.084149400393168,3.0874176025390625,7,0.26,512,4.186886787414551,2.1349172570054713,0.030650894849597904,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,he,444.48486328125,146.6254425048828,-11505.9501953125,114.08379364013672,17.691930770874023,318.6950148582458,7.652378082275391,6.000643730163574,3.5911643505096436,39.080379486083984,6041.69140625,0.5073058605194092,0.69259974360466
90,2026-09-01 12:37:54,train,129,full_training,5.904609203338623,0.043453969061374664,458.0,1,0,0.723495679005282,10.035472869873047,2,32,1345,2560,relu,none,0.0,none,21520,orthogonal,4.247219244639079,2.8800108432769775,7,0.26,512,4.186886787414551,2.1349172570054713,0.030650894849597904,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,orthogonal,111.43936157226562,23.266281127929688,-498.931884765625,117.24644470214844,18.889991760253906,96.0953462600708,4.081765174865723,3.7379331588745117,1.5563181638717651,9.790321350097656,389.9642028808594,0.26491864770650864,0.14907953143119812
91,2026-09-01 12:37:54,train,130,full_training,3.373918294906616,0.04525141045451164,33.0,1,0,0.04873631100053899,4.751551151275635,2,32,1313,2496,relu,none,0.0,none,21008,xavier,4.628277778625488,2.699293613433838,6,0.128,768,2.2643818855285645,1.8275894449397314,0.026896346416769006,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,high,cpu,small_model__moderate_data__high_volume,0.02,32,adam,1e-05,xavier,180.12289428710938,10.367376327514648,-42.114990234375,101.29715728759766,17.704879760742188,11.460661697387696,5.2700371742248535,5.11829948425293,1.8199052810668945,3.136136054992676,52.077247619628906,0.2503562569618225,0.16961290687322617
92,2026-09-01 12:37:54,train,130,full_training,3.761467933654785,0.04205155000090599,25.0,1,0,0.043273054994642735,4.1372270584106445,2,32,1313,2496,relu,none,0.0,none,21008,he,5.945054133733113,3.1431682109832764,6,0.128,768,2.2643818855285645,1.8275894449397314,0.026896346416769006,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,high,cpu,small_model__moderate_data__high_volume,0.02,32,adam,1e-05,he,383.60638427734375,25.212467193603516,-212.57565307617188,101.29715728759766,17.704872131347656,55.65227127075195,5.270037651062012,5.118302822113037,3.2385449409484863,6.253562927246094,270.0999450683594,0.44551219046115875,0.5371075570583344
93,2026-09-01 12:37:55,train,130,full_training,3.7836079597473145,0.04423810541629791,28.0,1,0,0.04292274999897927,4.954171180725098,2,32,1313,2496,relu,none,0.0,none,21008,orthogonal,4.154700259367625,2.899160146713257,6,0.128,768,2.2643818855285645,1.8275894449397314,0.026896346416769006,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,high,cpu,small_model__moderate_data__high_volume,0.02,32,adam,1e-05,orthogonal,108.75711059570312,6.245029926300049,-23.58260726928711,114.82186889648438,18.07647132873535,13.665900611877442,3.8598146438598633,3.760152816772461,1.4120842218399048,2.406620502471924,24.06058692932129,0.2068127915263176,0.10656708851456642
94,2026-09-01 12:37:55,train,131,full_training,1.3038142919540405,0.04989052936434746,57.0,1,0,0.0794411120004952,5.390575408935547,2,32,1313,2496,relu,none,0.0,none,21008,xavier,4.628277778625488,2.699293613433838,6,0.112,256,1.7960689067840576,1.711738701179817,0.06695446084211151,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,xavier,180.12289428710938,8.198803901672363,-28.180723190307617,100.01435089111328,17.255380630493164,34.09504356384277,5.270488262176514,5.002374172210693,1.8924684524536133,2.5413289070129395,151.72181701660156,0.2703080102801323,0.1992664933204651
95,2026-09-01 12:37:55,train,131,full_training,1.6147013902664185,0.04791758954524994,95.0,1,0,0.1438488160201814,5.418042182922363,2,32,1313,2496,relu,none,0.0,none,21008,he,5.945054133733113,3.1431682109832764,6,0.112,256,1.7960689067840576,1.711738701179817,0.06695446084211151,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,he,383.60638427734375,20.697994232177734,-148.2760772705078,100.01435089111328,17.2553768157959,97.17301387786866,5.270487308502197,5.002374649047852,3.3676724433898926,5.225020408630371,634.2874755859375,0.4810166358947754,0.6310105621814728
96,2026-09-01 12:37:55,train,131,full_training,1.4144679307937622,0.04818746820092201,66.0,1,0,0.09920692999730818,5.868872165679932,2,32,1313,2496,relu,none,0.0,none,21008,orthogonal,4.154700259367625,2.899160146713257,6,0.112,256,1.7960689067840576,1.711738701179817,0.06695446084211151,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,orthogonal,108.75711059570312,6.049498081207275,-25.155338287353516,114.52711486816406,17.72294807434082,21.034634590148926,3.615614652633667,3.428149938583374,1.437192440032959,2.4249184131622314,119.5915298461914,0.22194109112024307,0.12572678923606873
97,2026-09-01 12:37:55,train,132,full_training,4.273661136627197,0.026786167174577713,98.0,1,0,0.14434793702093884,6.458377361297607,2,32,1313,2496,relu,none,0.0,none,21008,xavier,4.628277778625488,2.699293613433838,6,0.047,256,4.013850212097168,2.1138139998594,0.04461113327529472,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,low,cpu,small_model__clean_data__low_volume,0.02,32,adam,1e-05,xavier,180.12289428710938,30.34751319885254,-566.9495849609375,105.05793762207031,17.39305877685547,122.56981925964355,4.957059860229492,4.48477029800415,1.8512322902679443,12.722823143005371,2066.1015625,0.27141349017620087,0.2012241706252098
98,2026-09-01 12:37:56,train,132,full_training,3.5310213565826416,0.04404928535223007,130.0,1,0,0.1809960650280118,6.195211410522461,2,32,1313,2496,relu,none,0.0,none,21008,he,5.945054133733113,3.1431682109832764,6,0.047,256,4.013850212097168,2.1138139998594,0.04461113327529472,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,low,cpu,small_model__clean_data__low_volume,0.02,32,adam,1e-05,he,383.60638427734375,61.74953079223633,-1943.3790283203125,105.05793762207031,17.39305877685547,232.60231704711913,4.957059860229492,4.48477029800415,3.2942919731140137,22.47907829284668,6889.5673828125,0.48298387229442596,0.6372098922729492
99,2026-09-01 12:37:56,train,132,full_training,5.26651668548584,0.03997967019677162,98.0,1,0,0.13285177299985662,6.78236722946167,2,32,1313,2496,relu,none,0.0,none,21008,orthogonal,4.154700259367625,2.899160146713257,6,0.047,256,4.013850212097168,2.1138139998594,0.04461113327529472,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,low,cpu,small_model__clean_data__low_volume,0.02,32,adam,1e-05,orthogonal,108.75711059570312,20.267637252807617,-321.6549072265625,113.14047241210938,18.053668975830078,58.087898921966556,3.590775966644287,3.3206212520599365,1.3948355913162231,9.83767032623291,755.70166015625,0.22354601323604584,0.12512821704149246
100,2026-09-01 12:37:56,test,133,full_training,3.2745442390441895,0.02885640412569046,32.0,1,0,0.05136940200463869,4.78087043762207,2,32,1281,2432,relu,none,0.0,none,20496,xavier,4.337605396906535,2.741262674331665,5,0.106,512,1.8152879476547241,1.71706058519417,0.03677915827938831,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,116.72314453125,10.422597885131836,-84.60903930664062,99.34516906738281,16.03934669494629,63.87399826049805,4.063493728637695,3.666957378387451,1.7098890542984009,3.2427546977996826,51.60905456542969,0.24727307260036469,0.1751362383365631
101,2026-09-01 12:37:56,test,133,full_training,5.6220855712890625,0.04681376367807388,26.0,1,0,0.046206640981836244,4.284405708312988,2,32,1281,2432,relu,none,0.0,none,20496,he,5.668473839759827,3.066263437271118,5,0.106,512,1.8152879476547241,1.71706058519417,0.03677915827938831,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,268.70367431640625,43.861942291259766,-1386.529296875,99.34516906738281,16.039342880249023,196.2464277267456,4.063493728637695,3.666957139968872,3.2890372276306152,12.127813339233398,419.5750427246094,0.4756391942501068,0.6480041146278381
102,2026-09-01 12:37:56,test,133,full_training,2.754582405090332,0.0469706691801548,17.0,1,0,0.024017127987463027,3.8431458473205566,2,32,1281,2432,relu,none,0.0,none,20496,orthogonal,4.054092566172282,2.926488161087036,5,0.106,512,1.8152879476547241,1.71706058519417,0.03677915827938831,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,84.57994079589844,5.054022312164307,-14.59732437133789,98.597900390625,17.054088592529297,45.48132858276367,2.868985652923584,2.723212957382202,1.3292899131774902,1.7627582550048828,37.80021667480469,0.19515399634838104,0.10383107513189316
103,2026-09-01 12:37:56,train,134,full_training,3.8217172622680664,0.04329964891076088,123.0,1,0,0.16540554698440246,6.057140827178955,2,32,1345,2560,relu,none,0.0,none,21520,xavier,4.824894110361735,2.6007485389709473,7,0.157,384,1.9665141105651855,1.7570697773725368,0.033811917810461556,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,222.52198791503906,35.14737319946289,-769.4403076171875,114.48567199707031,17.383106231689453,136.25130386352538,9.962288856506348,6.017181396484375,2.1821393966674805,10.398653984069824,327.4763488769531,0.3256061524152756,0.2787482663989067
104,2026-09-01 12:37:57,train,134,full_training,8.833234786987305,0.046200066804885864,174.0,1,0,0.2488645899866242,6.23921537399292,2,32,1345,2560,relu,none,0.0,none,21520,he,6.084149400393168,3.0874176025390625,7,0.157,384,1.9665141105651855,1.7570697773725368,0.033811917810461556,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,444.48486328125,111.85774230957031,-6960.7158203125,114.48567199707031,17.38311767578125,370.2553649902344,9.962291717529297,6.017178535461426,3.6420907974243164,28.641738891601562,2800.807861328125,0.543451577425003,0.7765130698680878
105,2026-09-01 12:37:57,train,134,full_training,2.8321380615234375,0.04264527186751366,80.0,1,0,0.10274969699094072,5.8466925621032715,2,32,1345,2560,relu,none,0.0,none,21520,orthogonal,4.247219244639079,2.8800108432769775,7,0.157,384,1.9665141105651855,1.7570697773725368,0.033811917810461556,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,111.43936157226562,15.446707725524902,-243.35531616210938,114.61634826660156,18.6931095123291,77.33654479980468,4.3086748123168945,3.794621229171753,1.5465562343597412,6.405625820159912,103.62327575683594,0.2735689878463745,0.16563144326210022
106,2026-09-01 12:37:57,train,135,full_training,8.975555419921875,0.04171155393123627,530.0,1,0,0.7302719980070833,12.159412384033203,2,32,1281,2432,relu,none,0.0,none,20496,xavier,4.337605396906535,2.741262674331665,5,0.188,512,9.11685562133789,2.5240010163418938,0.04036128674643343,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,116.72314453125,23.37900161743164,-197.44175720214844,106.22942352294922,16.454242706298828,67.0778694152832,3.843532085418701,3.573700189590454,1.7972947359085083,9.0587797164917,1588.6778564453125,0.24378447234630585,0.16352907568216324
107,2026-09-01 12:37:58,train,135,full_training,7.8071980476379395,0.047828979790210724,621.0,1,0,0.8006998040073086,13.048103332519531,2,32,1281,2432,relu,none,0.0,none,20496,he,5.668473839759827,3.066263437271118,5,0.188,512,9.11685562133789,2.5240010163418938,0.04036128674643343,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,268.70367431640625,44.510337829589844,-281.04840087890625,106.22942352294922,16.454235076904297,224.18161163330078,3.843532085418701,3.5736985206604004,3.457165479660034,13.306289672851562,4765.29736328125,0.4689287841320038,0.6050576269626617
108,2026-09-01 12:37:59,train,135,full_training,9.46462345123291,0.047196656465530396,364.0,1,0,0.44608246799907647,10.198343276977539,2,32,1281,2432,relu,none,0.0,none,20496,orthogonal,4.054092566172282,2.926488161087036,5,0.188,512,9.11685562133789,2.5240010163418938,0.04036128674643343,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,84.57994079589844,16.666446685791016,-146.33786010742188,98.93787384033203,17.092397689819336,27.548486375808714,2.8329880237579346,2.6710894107818604,1.3231868743896484,7.653797149658203,1350.0244140625,0.19331029802560806,0.10218453034758568
109,2026-09-01 12:37:59,test,136,full_training,2.5247445106506348,0.04255591705441475,21.0,1,0,0.023689641995588318,4.085918426513672,2,32,1313,2496,relu,none,0.0,none,21008,xavier,4.628277778625488,2.699293613433838,6,0.129,256,2.3382134437561035,1.8436321093005483,0.05710975922379513,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,xavier,180.12289428710938,12.16655445098877,-46.41616439819336,101.86710357666016,17.665313720703125,19.744379425048827,4.913520812988281,4.6601972579956055,1.8586406707763672,3.274958610534668,55.425662994384766,0.2786043882369995,0.2154802829027176
110,2026-09-01 12:37:59,test,136,full_training,2.7268338203430176,0.04447336122393608,36.0,1,0,0.04115141902002506,4.295556545257568,2,32,1313,2496,relu,none,0.0,none,21008,he,5.945054133733113,3.1431682109832764,6,0.129,256,2.3382134437561035,1.8436321093005483,0.05710975922379513,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,he,383.60638427734375,29.416702270507812,-243.2626495361328,101.86710357666016,17.66531753540039,73.19762420654297,4.913520812988281,4.660197734832764,3.3074750900268555,6.610306262969971,580.5648193359375,0.49578018486499786,0.6823542416095734
